"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3813","Navigating to Lounge of Warehouse site-ARIA locators","chromium","Sat Mar 28 00:13:29 UTC 2026","passed","Sat Mar 28 00:13:33 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","10141","To Navigate to Lounge page","webkit","Sat Mar 28 00:13:34 UTC 2026","passed","Sat Mar 28 00:13:44 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","5165","To Navigate to Lounge page","chromium","Sat Mar 28 00:13:28 UTC 2026","passed","Sat Mar 28 00:13:33 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","4857","To Navigate to Car Electronics page","chromium","Sat Mar 28 00:13:33 UTC 2026","passed","Sat Mar 28 00:13:38 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","2273","Navigating to Lounge of Warehouse site-ARIA locatoes","chromium","Sun Mar 22 10:58:17 UTC 2026","passed","Sun Mar 22 10:58:19 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","7147","To Navigate to Car Electronics page","webkit","Sat Mar 28 00:13:43 UTC 2026","skipped","Sat Mar 28 00:13:51 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","11797","Navigating to Lounge of Warehouse site-ARIA locators","webkit","Sat Mar 28 00:13:52 UTC 2026","passed","Sat Mar 28 00:14:04 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
