"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4659","Navigating to Lounge of Warehouse site-ARIA locators","chromium","Fri Mar 27 22:04:11 UTC 2026","passed","Fri Mar 27 22:04:15 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","8432","To Navigate to Lounge page","chromium","Fri Mar 27 22:03:57 UTC 2026","passed","Fri Mar 27 22:04:05 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","10445","To Navigate to Lounge page","webkit","Fri Mar 27 22:04:45 UTC 2026","passed","Fri Mar 27 22:04:56 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","10758","Navigating to Lounge of Warehouse site-ARIA locators","webkit","Fri Mar 27 22:36:28 UTC 2026","passed","Fri Mar 27 22:36:39 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","6044","To Navigate to Car Electronics page","webkit","Fri Mar 27 22:05:00 UTC 2026","skipped","Fri Mar 27 22:05:06 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","2273","Navigating to Lounge of Warehouse site-ARIA locatoes","chromium","Sun Mar 22 10:58:17 UTC 2026","passed","Sun Mar 22 10:58:19 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","9092","To Navigate to Car Electronics page","chromium","Fri Mar 27 22:03:57 UTC 2026","passed","Fri Mar 27 22:04:06 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
