"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2273","Navigating to Lounge of Warehouse site-ARIA locatoes","chromium","Sun Mar 22 10:58:17 UTC 2026","passed","Sun Mar 22 10:58:19 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","5115","To Navigate to Car Electronics page","chromium","Sat Mar 28 00:18:54 UTC 2026","passed","Sat Mar 28 00:18:59 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","13557","To Navigate to Lounge page","webkit","Sat Mar 28 00:19:03 UTC 2026","passed","Sat Mar 28 00:19:17 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","5064","To Navigate to Lounge page","chromium","Sat Mar 28 00:18:49 UTC 2026","passed","Sat Mar 28 00:18:54 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","4004","Navigating to Lounge of Warehouse site-ARIA locators","chromium","Sat Mar 28 00:18:56 UTC 2026","passed","Sat Mar 28 00:19:00 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","8733","To Navigate to Car Electronics page","webkit","Sat Mar 28 00:18:48 UTC 2026","skipped","Sat Mar 28 00:18:56 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","12864","Navigating to Lounge of Warehouse site-ARIA locators","webkit","Sat Mar 28 00:19:02 UTC 2026","passed","Sat Mar 28 00:19:15 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
