"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12346","To Navigate to Lounge page","webkit","Sat Mar 28 00:32:10 UTC 2026","passed","Sat Mar 28 00:32:22 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","9445","To Navigate to Car Electronics page","webkit","Sat Mar 28 00:32:03 UTC 2026","skipped","Sat Mar 28 00:32:12 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","4379","To Navigate to Lounge page","chromium","Sat Mar 28 00:32:05 UTC 2026","passed","Sat Mar 28 00:32:09 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","2273","Navigating to Lounge of Warehouse site-ARIA locatoes","chromium","Sun Mar 22 10:58:17 UTC 2026","passed","Sun Mar 22 10:58:19 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","5351","To Navigate to Car Electronics page","chromium","Sat Mar 28 00:32:10 UTC 2026","passed","Sat Mar 28 00:32:15 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","11685","Navigating to Lounge of Warehouse site-ARIA locators","webkit","Sat Mar 28 00:31:52 UTC 2026","passed","Sat Mar 28 00:32:04 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","3724","Navigating to Lounge of Warehouse site-ARIA locators","chromium","Sat Mar 28 00:32:04 UTC 2026","passed","Sat Mar 28 00:32:07 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
