"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11260","To Navigate to Lounge page","webkit","Fri Mar 27 21:27:36 UTC 2026","passed","Fri Mar 27 21:27:47 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","3726","Navigating to Lounge of Warehouse site-ARIA locators","chromium","Fri Mar 27 21:27:31 UTC 2026","passed","Fri Mar 27 21:27:34 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","4930","To Navigate to Car Electronics page","chromium","Fri Mar 27 21:27:26 UTC 2026","passed","Fri Mar 27 21:27:31 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","5562","To Navigate to Car Electronics page","webkit","Fri Mar 27 21:27:48 UTC 2026","skipped","Fri Mar 27 21:27:53 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","8194","Navigating to Lounge of Warehouse site-ARIA locators","webkit","Fri Mar 27 21:27:53 UTC 2026","passed","Fri Mar 27 21:28:01 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","5014","To Navigate to Lounge page","chromium","Fri Mar 27 21:27:20 UTC 2026","passed","Fri Mar 27 21:27:25 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
"","2273","Navigating to Lounge of Warehouse site-ARIA locatoes","chromium","Sun Mar 22 10:58:17 UTC 2026","passed","Sun Mar 22 10:58:19 UTC 2026","Test navigation Of Warehouse Website","warehousebdd.spec.ts","",""
